,business_id,name,neighborhood,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,categories
70,2pD9wZWXDNsZf_MXd8rQtg,"""Carle Clinic Association""",,"""602 W University Ave""",Urbana,IL,61801,40.116627,-88.2147631,2.5,6,1,doctors
190,kyXEnWKQGWSThY6EcjORuw,"""Zorba's Restaurant""",,"""627 E Green St""",Champaign,IL,61820,40.110085,-88.229304,4.0,109,1,restaurants
239,N_W4JlpCw02VPSf5Mrxwqg,"""Dunkin' Donuts""",,"""607 E Green St""",Champaign,IL,61820,40.1101065,-88.2299909,4.0,7,1,food
362,W62GDd3OCQKXoifPHjaTag,"""Essential Healing Therapeutic Massage & Bodywork""",,"""104 W Tomaras Ave""",Savoy,IL,61874,40.0628641,-88.25067259999999,5.0,11,1,massage therapy
398,zK9uMcGxF7AmZ7lPiB0PKQ,"""The Illini Shop""",,"""707 S 6th St""",Champaign,IL,61820,40.109697600000004,-88.2305599,3.0,8,1,sporting goods
416,gEJZ5USuvC1r8_QvSvDCNA,"""K-Bowl""",,"""39 E Green St""",Champaign,IL,61820,40.109988,-88.24050600000001,3.5,50,1,restaurants
477,zAD08AT1GgX-cVNy9iMq4A,"""Activities and Recreation Center - ARC""",,"""201 E Peabody Dr""",Champaign,IL,61820,40.100829600000004,-88.2355555,4.0,23,1,gyms
504,Lp-lUqhuXwHuEzeeidYx-A,"""Bell Sports""",,"""1924 County Rd 3000 N""",Rantoul,IL,61866,40.3124148,-88.09533449999999,4.5,3,1,shopping
556,O7mJ04jvwofUzMtKW1-R9w,"""Action Rents""",,"""417 S Century Blvd""",Rantoul,IL,61866,40.305551,-88.155305,2.5,3,1,event planning & services
562,LGQ0Pggxk-dQNAqVA39v8g,"""Glenn Poor's Audio-Video""",,"""1745 W Kirby Ave""",Champaign,IL,61821,40.0982349,-88.2743131,5.0,3,1,shopping
580,rwuiLDAkVUNEJex-oQlA7g,"""Green Street Realty""",,"""510 S Neil St""",Champaign,IL,61820,40.110645,-88.24296690000001,1.0,12,1,commercial real estate
625,6n4qUcORUSOsuas4uAZLPA,"""Frazier's Appliance Repair""",,"""2455 County Road 550 E""",Mahomet,IL,61853,40.2525054,-88.3558615,4.5,3,1,appliances & repair
733,aR0kTa6WEFROLY5dJ4cmrg,"""Green Onion""",,"""2020 S Neil St""",Champaign,IL,61820,40.0909079,-88.2457381,3.5,17,1,imported food
863,poDxgsg-i02WzqBujqEm-A,"""Mettler Therapy""",,"""2906 Crossing Ct""",Champaign,IL,61822,40.0847989,-88.2917967,5.0,3,1,beauty & spas
884,m8lSbR6oLh5zw_IepTLhKg,"""Cost Cutters""",,"""2018 N Prospect Ave, Town Center""",Champaign,IL,61822,40.140669,-88.255187,2.5,3,1,hair salons
960,hEjYQlKcn-ClE5rbCN6RBQ,"""United States Post Office""",,"""202 S Broadway Ave""",Urbana,IL,61801,40.111413399999996,-88.2068363,4.5,3,1,public services & government
967,1fBxvfNd9JZbR5R1YLHmoQ,"""FedEx Office Print & Ship Center""",,"""505 S Mattis Ave""",Champaign,IL,61821,40.111405,-88.277172,3.5,9,1,local services
1011,VZtXF2A-MNt5J6d6ih7tkA,"""Aldi Grocery""",,"""3102 E University Ave""",Urbana,IL,61802,40.1139068604,-88.1641921997,4.0,7,1,food
1062,rNbAIbTn0zN8yNk0IV7dfQ,"""The Cake Artist's Studio""",,"""1100 W Bloomington Rd""",Champaign,IL,61820,40.135026,-88.263165,4.5,32,1,event planning & services
1119,6vsjWxIMHs-34L9wuTBJRw,"""The Home Depot""",,"""820 Bloomington Rd""",Champaign,IL,61820,40.1332734002,-88.2559525967,3.0,13,1,home & garden
1126,HGO_cdDG5iGgkxKsKd_Vcw,"""Hertz Rent A Car""",,"""11 Airport Rd""",Champaign,IL,61874,40.0363225,-88.26403959999999,1.0,4,1,hotels & travel
