,business_id,name,neighborhood,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,categories
14,fNMVV_ZX7CJSDWQGdOM8Nw,"""Showmars Government Center""",Uptown,"""600 E 4th St""",Charlotte,NC,28202,35.2216474,-80.8393449,3.5,7,1,restaurants
42,zjySmTfL9WiMDVgp8-Jp3w,"""TCBY""",,"""610 Jetton St, Ste 130""",Davidson,NC,28036,35.5012273,-80.86094940000001,3.5,3,1,desserts
56,ykJM7EuGziATZ5u2qIT08g,"""My Fitness World""",South End,"""1225 S Church St, Ste B""",Charlotte,NC,28203,35.220211,-80.855785,5.0,4,1,active life
67,6aFAEeJ3nS-iWGt7Tn7S0Q,"""KS Audio Video""",,"""19925 Jetton Rd, Ste 100""",Cornelius,NC,28031,35.4802886,-80.8857059,5.0,5,1,home services
77,NFTh6mj3X2AnHJCKIFUk5Q,"""Fairfield Inn & Suites""",,"""8540 E Independence Blvd""",Charlotte,NC,28105,35.147422,-80.726487,4.0,17,1,hotels
84,nJ3mXjItS8WcwhYbzbfDQw,"""Scott's Karat Patch""",South Park,"""5110 Park Rd, Ste 2F""",Charlotte,NC,28209,35.1608893,-80.8492598,4.0,5,1,watch repair
100,zdC6e26U7tS1XtWcJPKCcA,"""Concord Parkway Animal Hospital""",,"""308 Concord Pkwy N""",Concord,NC,28027,35.4038438,-80.6090928,3.0,3,1,pets
102,c6Q3HP4cmWZbD9GX8kr4IA,"""Pep Boys""",,"""4837 N Tryon St""",Charlotte,NC,28213,35.258682,-80.785106,3.5,8,1,auto parts & supplies
103,c7X2SdKxVJMaOnFROO8WEg,"""Finga Lickin' Caribbean Eatery""",,"""2838 The Plz""",Charlotte,NC,28205,35.236823,-80.801084,4.5,21,1,pizza
126,WUiDaFQRZ8wKYGLvmjFjAw,"""China Buffet""",University City,"""8630 University Executive Park Dr""",Charlotte,NC,28262,35.306173,-80.752672,3.5,76,1,buffets
128,5q6Xh-UcJa78bp6dzyaE7w,"""Duck Donuts""",Dilworth,"""1710 Kenilworth Ave, Ste 220""",Charlotte,NC,28203,35.2026242,-80.8444191,4.5,373,1,breakfast & brunch
161,bA21m-qbgN_GNR6g-AlfYw,"""Dynasty Buffett""",,"""2932 E Franklin Blvd""",Gastonia,NC,28056,35.262735299999996,-81.125895,3.5,30,1,restaurants
163,xMP2oDrKFqyUrN0Uww85EQ,"""Dockside Seafood Market""",Eastland,"""3017 Kilborne Dr""",Charlotte,NC,28205,35.214618,-80.770211,4.5,3,1,seafood markets
168,aLM-0HupwCE5r7bMIcQ2TQ,"""Septic Pumping Service""",,"""""",Matthews,NC,28104,35.121876,-80.712939,5.0,3,1,septic services
222,qts-sjm1sj3oiT_Rch1zhQ,"""Men's Wearhouse""",,"""11215 Carolina Place Pkwy""",Pineville,NC,28134,35.0805730919,-80.8783729281,2.0,6,1,fashion
235,llE7OE0-4_LTS8rpGKOO-Q,"""University Dental Associates""",Biddleville,"""2609 N Duke St, Ste 618""",Charlotte,NC,28269,35.2723727,-80.88347879999999,4.5,5,1,cosmetic dentists
240,JtBJ-UPbVjJvqzqkO-jnjA,"""Champ's Sports""",,"""11025 Carolina Place Pkwy""",Pineville,NC,28134,35.0822,-80.87722420000001,2.0,3,1,shopping
254,WZdHNL9F0VWPRGLf1GQcbA,"""Steak 'n Shake""",,"""2656 E Franklin Blvd""",Gastonia,NC,28056,35.2606186789,-81.1305777781,2.5,28,1,fast food
260,g-DJdpZnDpZ3gGpNxitxkA,"""Creative Home Stagers""",,"""7427 Matthews-Mint Hill Rd""",Mint Hill,NC,28227,35.1760893,-80.6537344,5.0,4,1,home services
334,lZ9ReZiXX8p6fgEQk6gIGQ,"""Rite Aid""",,"""617 Highland St""",Mount Holly,NC,28120,35.2887,-81.018498,2.0,4,1,drugstores
361,78Gz9WWdiEJMBfQ1MFWUSg,"""360 Visuals""",,"""10230 Hickorywood Hill Ave, Ste B""",Huntersville,NC,28078,35.411311600000005,-80.8600863,5.0,4,1,photographers
423,aFmcd1VXT4f9gjLWreSQvA,"""Cigarettes and More""",,"""8328 Pineville Matthews Rd""",Charlotte,NC,28226,35.089592100000004,-80.8604778,4.5,3,1,tobacco shops
462,-w82J_sPNAGsTBHbfGrexA,"""Dollar Tree""",,"""5401 South Blvd""",Charlotte,NC,28217,35.162484,-80.874998,3.5,12,1,shopping
485,ckq5AFmnoNxK8xtuRVtnsQ,"""Now It's A Party!""",Uptown,"""401 South Tryon St""",Charlotte,NC,28202,35.2246161,-80.84642459999999,5.0,5,1,party equipment rentals
493,K8NUJWxYXlRyNS4SzZYMrw,"""Dunkin' Donuts""",Ballantyne,"""16131 Lancaster Hwy""",Charlotte,NC,28277,35.028656,-80.8511594,2.5,17,1,coffee & tea
