,business_id,name,neighborhood,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,categories
17,b2I2DXtZVnpUMCXp1JON7A,"""Meineke Car Care Center""",,"""2518 Ironwood Dr""",Sun Prairie,WI,53590,43.18508,-89.262047,3.5,9,1,tires
47,Z-4KHBDbdwyC7PwA_JE5Xw,"""William Jon Salon & Spa""",Regent,"""2701 University Ave, Ste H""",Madison,WI,53705,43.073145200000006,-89.43440179999999,4.5,14,1,tanning
74,zWb-kwaANIPMS_AFBbVOew,"""Banana Republic""",,"""32 W Towne Mall""",Madison,WI,53719,43.0570896,-89.5092997,2.0,8,1,mens clothing
81,B5EZlEDH6AVDk8tQGHAGqg,"""Villa Tap""",Sherman,"""2302 Packers Ave""",Madison,WI,53704,43.1233893,-89.3553901,4.0,34,1,american (traditional)
85,NoxzrJbWS4xD9ft0ygD3JA,"""The Brink Lounge""",Williamson - Marquette,"""701 E Washington Ave, Ste 105""",Madison,WI,53703,43.0798171,-89.3762962,3.5,30,1,event planning & services
111,evwSIx2mmvpN0V0QteOAsA,"""Spay Me! Clinic""",,"""4475 Robertson Rd""",Madison,WI,53714,43.091157,-89.308487,3.0,11,1,veterinarians
164,pOyt4Fon5n783Jc-hrSq-A,"""Apple Wellness - Fitchburg Health Store""",,"""6313 McKee Rd""",Fitchburg,WI,53719,43.015366799999995,-89.4816815,4.5,14,1,health markets
320,AuE8ETTblOgY1CL3c9Up2g,"""Walgreens""",,"""275 Davison Dr""",Sun Prairie,WI,53590,43.18692539999999,-89.2288242,2.0,4,1,drugstores
358,SdqVhZDwk8c89EnXPhKndQ,"""J&P Fresh Market""",,"""6634 Watts Rd""",Madison,WI,53719,43.050634,-89.49771700000001,4.0,11,1,grocery
465,in7ne7A3fhah-gSA5UzuoQ,"""Stanton Optical""",Norman Acres,"""4302 E Washington Ave""",Madison,WI,53704,43.1270494921,-89.3107579753,1.5,23,1,health & medical
471,ugdUuApH3pYXggW5qpbALg,"""Mr. Torta's""",Elvehjem,"""4527 Cottage Grove Rd""",Madison,WI,53716,43.083976745,-89.3033632212,3.5,19,1,restaurants
730,SOhDXouPwa6C5cf-3hcl2Q,"""Hilton Madison""",Capitol,"""9 E Wilson""",Madison,WI,53703,43.072697399999996,-89.3806495,3.5,98,1,party & event planning
743,XXo6JbN_i_WpsXp_C5zPPg,"""Madison Circus Space""",Schenk - Atwood,"""2100 Winnebago St""",Madison,WI,53704,43.0939689,-89.35453829999999,4.5,3,1,event planning & services
744,93rggk3d57B49FsHISfiYw,"""Anytime Garage Door Repair""",Burke Heights,"""917 Walsh Rd, Unit 104""",Madison,WI,53714,43.111036999999996,-89.30901709999999,5.0,8,1,home services
750,sZyoRWVCCr_Hrj82AynIAw,"""Central Park""",Williamson - Marquette,"""202 S Ingersoll St""",Madison,WI,53703,43.083288700000004,-89.36781690000001,4.5,4,1,active life
754,SRrLzl_1gKisaGy3c69uIA,"""Eyemart Express""",,"""6658 Odana Road""",Madison,WI,53719,43.0564694,-89.49485909999999,3.5,12,1,health & medical
770,2GyeJSLoobATU1tjeU1jpA,"""Paradigm Gardens""",,"""2025 S Stoughton Rd""",Madison,WI,53716,43.0685175,-89.3080125,4.5,8,1,shopping
836,5Y-p9QJLrg2P0I8RjJ9TTQ,"""Chang Jiang""",,"""4929 Commercial Ave""",Madison,WI,53704,43.105634146499995,-89.2967010739,3.0,9,1,restaurants
876,n_8suHvITWk-1qLhNefmag,"""Wisconsin Dental Solutions""",,"""1260 W Main St""",Sun Prairie,WI,53590,43.180137,-89.23455799999999,5.0,3,1,cosmetic dentists
983,gxr4EQjEgohrCNSUHeLLuQ,"""Madison Oral Surgery & Dental Implants""",,"""5801 Research Park Blvd, Ste 110""",Madison,WI,53719,43.054462,-89.478408,4.5,7,1,dentists
1042,Hm3PtOoOI-0mghpZytYqyQ,"""Baldwin Eye Care""",,"""1721 W Main St""",Sun Prairie,WI,53590,43.177124,-89.242478,3.5,3,1,optometrists
