,business_id,name,neighborhood,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,categories
4,PfOCPjBrlQAnz__NXj9h_w,"""Brick House Tavern + Tap""",,"""581 Howe Ave""",Cuyahoga Falls,OH,44221,41.1195346,-81.4756898,3.5,116,1,american (new)
28,Dj0S-Oe4ytRJzMGUPgYUkw,"""Panera Bread""",,"""38295 Chestnut Ridge Rd""",Elyria,OH,44035,41.343078000000006,-82.06714000000001,2.0,4,1,soup
35,8y56fOiKhtCnqaiYB2S2Qg,"""Brewster's Pub""",,"""96 S Main St""",Munroe Falls,OH,44308,41.136621999999996,-81.43925920000001,4.0,4,1,nightlife
40,tRVx2c89coruPRwYhGTcTw,"""Yuzu""",,"""13603 Madison Ave""",Lakewood,OH,44107,41.4768463,-81.7869709,3.5,78,1,nightlife
62,ORUUPE_Ahrcop9K7h6rvVQ,"""Falls Auto Body""",,"""20 W Steels Corners Rd""",Cuyahoga Falls,OH,44223,41.180484899999996,-81.50945240000001,5.0,3,1,automotive
87,8XQmnE-v6RrsHiqEz6QXdg,"""Havel's Flowers & Greenhouses""",,"""9294 Mentor Ave""",Mentor,OH,44060,41.6777682,-81.30686379999999,3.5,4,1,florists
89,w5WBrukfSuEyTjYUYlV4Ug,"""International Exposition Center""",Riverside,"""1 I-X Center Dr""",Cleveland,OH,44135,41.3985053,-81.85322049999999,4.0,16,1,venues & event spaces
94,YvxQOMstU2MVDr2uNHs_vw,"""Mitchell's Ice Cream - Solon Shop""",,"""6130 Kruse Dr""",Solon,OH,44139,41.392049,-81.44263509999999,4.5,42,1,ice cream & frozen yogurt
117,veXxt8rGY_RJPpA5QkHT9Q,"""Barrio""",,"""2466 Fairmount Blvd""",Cleveland Heights,OH,44106,41.5005856,-81.59227790000001,3.5,97,1,food
144,CfEJGhzBFkWKoe-UTT2jiw,"""Exotic Nails Touch""",,"""4961 Dover Center Rd""",North Olmsted,OH,44070,41.4175274,-81.92271020000001,4.0,12,1,beauty & spas
149,iOudjMD1sFvD9QTltPQiTg,"""Motel 6 Cleveland-Willoughby""",,"""35110 Maplegrove Rd""",Willoughby,OH,44094,41.605349600000004,-81.4366698,2.5,15,1,hotels & travel
158,yh-NN-dCaxxleNcI-_bsUA,"""El Dorado's""",,"""1331 S Water St""",Kent,OH,44240,41.1416311,-81.35660250000001,2.5,7,1,pizza
159,8GL63JMAiD0mI-Z1Y-kT2Q,"""State Theater""",Playhouse Square,"""1501 Euclid Ave, Ste 200, Playhouse Square""",Cleveland,OH,44114,41.502189209499996,-81.6805508637,4.5,5,1,arts & entertainment
171,vIAQV1_p48AsKP-B9iULwg,"""Europtical""",,"""2932 Wooster Rd""",Rocky River,OH,44116,41.4660661,-81.8386584,5.0,6,1,eyewear & opticians
179,GDOAg680Gmi6S1MlhU7B1g,"""Taco Bell""",,"""4110 Lee Road""",Cleveland,OH,44128,41.447893,-81.564678,2.0,5,1,mexican
194,1cLXGXThDYZ5WK_KpBLtkw,"""Koko Bakery""",Goodrich Kirtland,"""3710 Payne Ave""",Cleveland,OH,44114,41.5094078,-81.6621618,4.0,167,1,bakeries
226,BiBILjVBFpT3QtYRwhrL6w,"""Washington & Lee Service, Inc""",,"""2080 Lee Rd""",Cleveland,OH,44118,41.5028239,-81.565937,4.0,9,1,auto repair
231,c1HfT-Rm4iYSxsAsk8eW4Q,"""Cleveland Dog Walk""",Ohio City,"""""",Cleveland,OH,44113,41.485710100000006,-81.69663059999999,5.0,5,1,pet services
232,paN928wuyEHzxw7Zn5_snw,"""DSW Designer Shoe Warehouse""",,"""291 Crocker Park Blvd""",Westlake,OH,44145,41.459565000000005,-81.950716,4.0,4,1,fashion
233,akRtfcCezswizRIaAqJ4fQ,"""KFC""",,"""25467 Detroit Avenue""",Westlake,OH,44145,41.47,-81.9014,2.0,9,1,chicken wings
234,kpM-NegY__31O-XMEEesdg,"""Banana Republic""",,"""200 Market St""",Westlake,OH,44145,41.457493400000004,-81.95217459999999,3.0,4,1,shopping
243,XguKrY0dAuaK1W6HUlUQ1Q,"""Retz's Laconi's II""",,"""547 Sackett Ave""",Cuyahoga Falls,OH,44221,41.131282299999995,-81.49017979999999,3.5,29,1,italian
246,7fiIMBxbOYdAv3XMcmWivw,"""Renee's Relaxation and Body Mechanics""",Campus District,"""850 Euclid Ave""",Cleveland,OH,44115,41.494619,-81.675465,3.0,3,1,massage
258,GlZMZrA-whyu1INVXcvRnw,"""Al Wilhelmy Flowers, Inc.""",Civic Center,"""412 Superior Ave""",Cleveland,OH,44114,41.5008098,-81.6912682,4.0,3,1,fruits & veggies
285,UuxH5yQpl73XJkzfLN-qdg,"""Cleveland Indians""",Gateway District,"""2401 Ontario St""",Cleveland,OH,44115,41.495341499999995,-81.68535729999999,4.0,36,1,stadiums & arenas
298,J-0_mtG3QyZ_7pBMoZBkfQ,"""North Chagrin Nature Center-Cleveland Metroparks""",,"""3037 Som Center Rd""",Willoughby Hills,OH,44094,41.571295899999996,-81.433384,4.0,16,1,amusement parks
310,btRo30YqzXeTbgxk6gnLMw,"""Pizza Hut""",,"""380 Dover Center Rd""",Bay Village,OH,44140,41.484475009,-81.921149902,1.5,3,1,pizza
311,pEMoLmRkS2dyIm_KpIr4hg,"""Ben's Auto Body Specialists""",Fairfax,"""8514 Carnegie Ave""",Cleveland,OH,44106,41.500802,-81.627516,5.0,3,1,body shops
