,business_id,name,neighborhood,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,categories
1,He-G7vWjzVUysIKrfNbPUQ,"""Stephen Szabo Salon""",,"""3101 Washington Rd""",McMurray,PA,15317,40.2916853,-80.1048999,3.0,11,1,hair stylists
8,EsMcGiZaQuG1OOvL9iUFug,"""Any Given Sundae""",,"""2612 Brandt School Rd""",Wexford,PA,15090,40.6151022445,-80.0913487465,5.0,15,1,coffee & tea
13,NmZtoE3v8RdSJEczYbMT9g,"""Complete Dental Care""",,"""107 Whitaker Str""",Homestead,PA,15120,40.4014882,-79.8879161,2.0,5,1,general dentistry
51,FmGZh8ZwEnSO860_2eiYHw,"""Enterprise Rent-A-Car""",Homestead,"""908 E 8th Ave""",Homestead,PA,15120,40.409116,-79.89741500000001,3.0,4,1,hotels & travel
75,o1fTwfqN0sDFNpV1CkOPPg,"""Crazy Mocha Coffee""",Lawrenceville,"""4032 Butler St""",Pittsburgh,PA,15201,40.469294899999994,-79.9612733,3.5,16,1,restaurants
76,-nHkhiuerqmfBG3v2v9O-g,"""Bruegger's Bagels""",,"""5217 Clairton Blvd""",Pittsburgh,PA,15236,40.344193700000005,-79.970963,2.5,5,1,breakfast & brunch
98,HcEJ2YiSLX_mT3RE0hvKWQ,"""Blush""",Downtown,"""135 9th St""",Pittsburgh,PA,15222,40.444236,-79.998325,3.0,21,1,nightlife
109,shNBn6mTKxZ124yPC_H02Q,"""T.W.Tile""",,"""248 Tara Dr""",Pittsburgh,PA,15236,40.327956,-79.960479,3.5,3,1,kitchen & bath
114,gSr8zPc8M4eTxwGgPb5AsA,"""Coraopolis Collision and Repair Service""",,"""601 4th Ave""",Coraopolis,PA,15108,40.522144700000005,-80.1726915,4.5,26,1,smog check stations
178,mLP-jIIRdoaYM7fJqqFurw,"""Napoli Pizzeria""",Squirrel Hill,"""2006 Murray Ave""",Pittsburgh,PA,15217,40.434399,-79.9229828,4.0,53,1,italian
182,AXb5gCwqHl-_v6ZIMb1mXQ,"""Sheraton Great Valley Hotel""",,"""707 E Lancaster Ave""",Frazer,PA,19355,40.0339411,-75.58189490000001,3.0,43,1,hotels
188,htKaC4cHY4wlB4Wqb8CDnQ,"""Allure""",Bloomfield,"""4730 Liberty Ave""",Pittsburgh,PA,15224,40.461378700000004,-79.948991,4.0,4,1,accessories
197,7m9ux0KgTe2NwUU0XA_9xQ,"""Double Take Auto Detailing""",Banksville,"""3030 Banksville Rd""",Pittsburgh,PA,15216,40.4013214219,-80.0430171937,4.5,14,1,automotive
204,LOeVGnlOti05f86ZZbgY7Q,"""Coyle Auto Body""",,"""540 McNeilly Rd""",Pittsburgh,PA,15226,40.38350429999999,-80.0178472,3.5,3,1,automotive
264,Qs7X8UTwtp9SvtxvEP4hLg,"""Fine Wine & Good Spirits - Premium Collection""",,"""The Water Works, 974 Freeport Rd""",Pittsburgh,PA,15238,40.4886935886,-79.8908097541,5.0,7,1,beer
268,lBNPDcSvmUbq7W69HvmRTA,"""Pizza Hut""",Etna,"""550 Butler St""",Etna,PA,15223,40.500796,-79.94342900000001,1.5,15,1,italian
275,LaWNGoxsBBrzm6C7Driz5Q,"""Shear Talent""",,"""5241 Library Rd""",Bethel Park,PA,15102,40.3327563,-80.0220604,5.0,4,1,hair extensions
295,ualXxlORdVbDlW-Ukww0QQ,"""Monro Muffler Brake & Service""",,"""10551 Perry Hwy""",Wexford,PA,15090,40.6115416562,-80.05458086729999,3.0,4,1,auto repair
332,j37Z4LIXTH9j6KOq9aX8DQ,"""Beer Emporium""",East Liberty,"""302 S Saint Clair St""",Pittsburgh,PA,15206,40.4599557,-79.930726,3.5,169,1,beer
346,UFHwS_Bb5IrVYFWGutkY7A,"""Fluhme Glam Bar""",,"""607 Washington Rd, Ste 100""",Pittsburgh,PA,15228,40.382944,-80.043616,5.0,6,1,wedding planning
363,4RhyluqR0eXERECBLallXQ,"""Sugar & Spice""",,"""5200 Clairton Blvd""",Pittsburgh,PA,15236,40.3441771,-79.97237679999999,4.0,28,1,food
389,v1GHndXuUkDdV-gNCSldQQ,"""The Exchange""",,"""6535 Robinson Ctr Dr""",Pittsburgh,PA,15205,40.455754299999995,-80.1619204,3.0,5,1,books
394,575BoZY8tDPcfSRcdsUNLw,"""Eat'n Park""",Banksville,"""1250 Banksville Rd""",Pittsburgh,PA,15216,40.4167567,-80.0303278,3.0,42,1,american (new)
421,fsvIASOJFSZohU2qmbMc7Q,"""Highland Park""",Highland Park,"""City of Pittsburgh Parks & Recreation""",Pittsburgh,PA,15210,40.4810342784,-79.9155807495,5.0,20,1,active life
422,EjNf9cqCK9V5xChJXhxnLw,"""Dots and Doodles""",,"""10925 Perry Hwy""",Wexford,PA,15090,40.6172685,-80.05671219999999,4.0,4,1,arts & entertainment
430,2cfzQGANxuIGcCUrlwnV7w,"""Popeyes Louisiana Kitchen""",,"""3420 William Penn Hwy""",Pittsburgh,PA,15235,40.4299884,-79.81329140000001,2.0,18,1,fast food
435,JxSmlL_MckX0dvS5XBg0Cg,"""Olympos Gyros""",,"""5950 Steubenville Pk""",Robinson Township,PA,15136,40.4482086,-80.14277290000001,4.0,48,1,greek
441,cs2VDcXDee_jzJoPT_fycA,"""Motel 6""",Banksville,"""2898 Banksville Rd""",Pittsburgh,PA,15216,40.4038660051,-80.04081756810001,2.5,16,1,hotels & travel
467,IeHlFrVmHzfyaGzdx01l_g,"""Kim Quyen Nail Salon""",,"""1045 Waterdam Plaza Dr""",Canonsburg,PA,15317,40.262798700000005,-80.1338401,4.0,3,1,beauty & spas
489,BHHlUVk3K2PbC5azR-sk3A,"""Day West Liberty Subaru""",Beechview,"""2310 W Liberty Ave""",Pittsburgh,PA,15226,40.4010046,-80.0231252,2.5,17,1,auto repair
491,w5F7Gz3UGg6TmpKhBCOiaw,"""Dom's TV & Appliance""",,"""1860 Homeville Rd""",West Mifflin,PA,15122,40.3652418031,-79.872553428,3.5,3,1,electronics
705,uEsOy9PV5007lvXPOvVezg,"""Pennzoil 10 Minute Oil Change""",Banksville,"""3116 Banksville Rd""",Pittsburgh,PA,15233,40.4003873,-80.0440153,3.0,4,1,transmission repair
720,SIJm66InxhHRTcLPB6OwKA,"""PointBreezeway""",Point Breeze,"""7113 Reynolds St""",Pittsburgh,PA,15208,40.446957299999994,-79.9046812,5.0,12,1,guest houses
724,nj4izgDoJOqTpTlQtZGDvA,"""Everett & Hurite""",,"""400 Penn Center Blvd""",Pittsburgh,PA,15235,40.4279285,-79.8111866,3.5,4,1,health & medical
729,J9f-9Prw2YVM-fiZqv2fmQ,"""Original Hot Dog Shop""",Oakland,"""3901 Forbes Ave""",Pittsburgh,PA,15213,40.442147,-79.956513,3.5,210,1,hot dogs
